Country,Province,Lat,Long,Confirmed_2023,Confirmed_2021,Confirmed_2022
US,Florida,38.08054629,-106.282466,792215,475820,117672
US,Georgia,30.71101099,-82.89687287,50908,1305774,35090
US,Illinois,,,157448,420629,67352
US,Illinois,43.98829931,-115.7309284,45814,144042,103791
US,Iowa,41.02903567,-94.69932645,284203,636201,75853
US,Michigan,44.05996956,-69.54227124,55317,11103,16601
US,Michigan,46.41292944,-86.60260122,111276,33124,36831
US,Minnesota,47.63197653,-88.41434263,169708,13901,61253
US,Mississippi,47.87197525,-96.09561104,144727,16004,89460
US,Mississippi,45.58613007,-96.00163705,29893,43679,93333
US,Nebraska,41.22703692,-97.13106306,60396,19187,64507
